BEGIN
BARECODE 7851
FIRSTNAME "Thierry"
LASTNAME "Cambier"
EMAIL "Cambier_Thierry@gmail.com"
POINTS 2000
END

BEGIN
BARECODE 8464
FIRSTNAME "Lucien"
LASTNAME "Joly"
EMAIL "Joly_Lucien@gmail.com"
POINTS 500
END

BEGIN
BARECODE 7418
FIRSTNAME "Valentin"
LASTNAME "Durieux"
EMAIL "Durieux_Valentin@gmail.com"
POINTS 1000
END

BEGIN
BARECODE 1247
FIRSTNAME "Florimont"
LASTNAME "Bureau"
EMAIL "Bureau_Florimont@gmail.com"
POINTS 1500
END

BEGIN
BARECODE 9969
FIRSTNAME "Mathieu"
LASTNAME "Burdiaux"
EMAIL "Burdiaux_Mathieu@gmail.com"
POINTS 1200
END

BEGIN
BARECODE 964
FIRSTNAME "Thomas"
LASTNAME "Vanderhagen"
EMAIL "VH_Thomas@hotmail.com"
POINTS 200
END

BEGIN
BARECODE 6708
FIRSTNAME "Baudrient"
LASTNAME "Ledune"
EMAIL "LeduneB@gmail.com"
POINTS 700
END

BEGIN
BARECODE 7841
FIRSTNAME "Lara"
LASTNAME "Wenger"
EMAIL "Lara_We@outlook.de"
POINTS 2500
END

BEGIN
BARECODE 1
FIRSTNAME "Seward"
LASTNAME "Livingstone"
EMAIL "slivingstone0@theglobeandmail.com"
POINTS 97
END

BEGIN
BARECODE 2
FIRSTNAME "Denver"
LASTNAME "Oven"
EMAIL "doven1@smh.com.au"
POINTS 51
END

BEGIN
BARECODE 3
FIRSTNAME "Olenka"
LASTNAME "Scotchforth"
EMAIL "oscotchforth2@nba.com"
POINTS 62
END

BEGIN
BARECODE 4
FIRSTNAME "Lishe"
LASTNAME "Frowen"
EMAIL "lfrowen3@mediafire.com"
POINTS 4
END

BEGIN
BARECODE 5
FIRSTNAME "Upton"
LASTNAME "Vineall"
EMAIL "uvineall4@webs.com"
POINTS 44
END

BEGIN
BARECODE 6
FIRSTNAME "Michelina"
LASTNAME "Pleasants"
EMAIL "mpleasants5@vinaora.com"
POINTS 79
END

BEGIN
BARECODE 7
FIRSTNAME "Aimil"
LASTNAME "Oxenham"
EMAIL "aoxenham6@dmoz.org"
POINTS 87
END

BEGIN
BARECODE 8
FIRSTNAME "Remy"
LASTNAME "Filipczak"
EMAIL "rfilipczak7@lulu.com"
POINTS 68
END

BEGIN
BARECODE 9
FIRSTNAME "Klara"
LASTNAME "Loweth"
EMAIL "kloweth8@amazon.de"
POINTS 72
END

BEGIN
BARECODE 10
FIRSTNAME "Lorain"
LASTNAME "Gross"
EMAIL "lgross9@webs.com"
POINTS 48
END

BEGIN
BARECODE 11
FIRSTNAME "Jeanette"
LASTNAME "Vlasyuk"
EMAIL "jvlasyuka@canalblog.com"
POINTS 49
END

BEGIN
BARECODE 12
FIRSTNAME "Wilone"
LASTNAME "Johnston"
EMAIL "wjohnstonb@state.gov"
POINTS 44
END

BEGIN
BARECODE 13
FIRSTNAME "Ike"
LASTNAME "Blenkinsop"
EMAIL "iblenkinsopc@slashdot.org"
POINTS 42
END

BEGIN
BARECODE 14
FIRSTNAME "Agretha"
LASTNAME "Harlock"
EMAIL "aharlockd@storify.com"
POINTS 14
END

BEGIN
BARECODE 15
FIRSTNAME "Glory"
LASTNAME "Mills"
EMAIL "gmillse@deviantart.com"
POINTS 62
END

BEGIN
BARECODE 16
FIRSTNAME "Chaddy"
